timestep,reward
660817,33.625
1319816,32.0
1984502,35.925
2654145,34.075
3331699,35.475
3997579,24.175
4657781,29.7
5323939,35.125
6005411,33.525
6682689,37.375
7350985,30.6
8011745,34.35
8686092,35.575
9355904,31.925
10040412,34.05
10709434,34.85
11384770,35.75
12055651,40.425
12735789,33.325
13412118,35.7
14085562,34.95
14758328,34.475
15437928,34.525
16114899,35.4
16793107,42.275
17463993,42.4
18141149,34.0
18815789,34.9
19509185,33.05
20183673,38.775
20861280,37.125
21530005,35.4
22201898,35.4
22876143,35.575
23548715,33.475
24234238,35.675
24907347,37.375
25587505,33.875
26268918,41.3
