timestep,reward
145,25.5
136231,24.9
270967,22.5
410855,29.6
543849,33.9
678313,32.2
812324,28.0
946828,32.7
1082902,29.6
1218124,29.4
1350830,27.4
1486082,32.9
1620836,32.7
1760671,32.1
1896876,32.7
2032385,33.5
2168497,31.8
2305172,32.8
2440679,29.3
2576373,31.5
2715218,31.8
2850327,31.2
2988075,32.4
3120604,33.9
3254625,24.2
3393146,23.3
3528132,23.0
3666000,24.1
3800285,23.5
3940373,23.4
4077462,28.5
4212256,31.6
4348744,26.9
4486284,29.4
4621315,34.7
4757055,32.3
4892134,32.2
5029937,31.6
5167161,28.1
5306675,24.1
5442158,31.9
5578180,30.5
5714163,27.3
5849386,29.5
5986201,23.2
6118564,27.1
6259219,31.9
6392618,33.4
6532160,35.2
6667760,27.7
6801877,34.9
6938097,31.1
7074814,35.0
7211553,27.3
7347855,31.1
7481402,25.9
7620724,32.3
7757477,31.1
7893951,22.4
8028085,24.9
8162880,31.8
8299183,34.3
8433127,35.8
8568646,30.8
8700861,33.5
8836942,35.5
8972811,30.7
9110996,32.3
9244781,29.1
9379609,28.3
9515092,28.1
9650246,29.3
9784824,27.8
9922088,31.2
10056923,33.2
10189755,29.1
10324284,30.3
10459832,29.1
10592678,30.9
10728809,30.1
10863266,31.5
10999535,27.8
11136978,32.7
11271026,33.1
11405967,29.3
11538830,33.1
11676342,31.9
11812029,36.5
11950813,27.7
12085215,30.6
12224364,28.1
12360216,34.0
12498008,32.7
12631172,29.7
12769439,34.6
12906720,28.5
13044916,28.4
13181341,31.2
13315858,33.5
13452061,29.0
