timestep,reward
668054,35.225
1319800,36.025
1974360,34.175
2638880,34.95
3290739,31.825
3956049,29.075
4618240,35.575
5274359,37.225
5947761,35.825
6630045,36.175
7317288,33.325
7996114,33.575
8673627,36.45
9348728,33.075
10021735,35.05
10695218,37.575
11364058,35.575
12035091,39.15
12713919,33.925
13384611,36.625
14052326,36.325
14719183,50.1
15387476,37.975
16056382,46.025
16731401,34.7
17405675,36.55
18092079,32.45
18781340,34.875
19452558,35.975
20119947,35.05
20791296,47.275
21470412,33.275
22150434,35.325
22829085,31.1
23506280,32.4
24190054,33.425
24880924,31.625
25566535,32.675
26250910,30.65
