timestep,reward
145,22.5
137045,27.7
274915,33.3
408252,28.3
542508,28.7
675856,29.3
810247,30.7
943919,31.3
1081153,34.1
1217779,31.5
1355506,33.7
1491637,31.6
1626257,33.0
1762908,33.0
1898253,34.1
2033361,35.6
2170915,33.7
2307655,23.2
2443679,27.1
2579374,27.5
2717143,23.2
2854026,30.8
2989466,34.2
3126481,31.0
3262716,32.6
3398962,32.5
3536114,30.6
3673990,32.7
3809035,32.0
3946853,31.0
4082487,31.9
4220469,32.2
4357928,30.5
4492329,24.4
4627639,23.3
4765340,22.2
4903720,26.3
5041597,25.2
5177994,27.4
5316206,29.6
5452847,23.9
5588533,23.5
5725230,32.1
5860289,25.4
5996954,26.1
6136198,28.1
6272158,27.1
6410673,26.6
6548909,28.6
6685118,24.2
6822295,33.4
6960358,22.8
7099257,31.1
7236453,33.7
7374234,25.1
7505737,27.2
7641441,26.3
7777996,28.3
7916061,28.6
8051372,27.7
8186474,33.0
8323997,23.1
8462810,29.1
8598213,32.8
8736047,25.7
8872074,23.1
9008528,24.7
9145179,24.0
9282326,30.3
9416942,23.5
9552519,26.3
9690660,28.2
9828683,25.1
9964927,29.6
10104582,28.3
10242118,32.4
10377455,29.6
10515080,31.3
10651585,20.9
10786825,26.5
10925292,33.8
11059591,26.3
11196150,30.3
11334128,24.2
11472178,26.9
11606784,31.8
11741374,28.9
11877195,34.3
12014054,24.8
12149466,36.6
12287104,26.9
12423698,20.5
12561453,31.1
12697600,25.5
12834010,27.3
12970781,24.4
13107117,27.8
13244020,25.3
13381479,33.1
13515488,31.5
