timestep,reward
640,"[50.6, 49.4, 50.6, 49.4]"
451285,"[42.1, 57.9, 42.1, 57.9]"
912980,"[48.7, 51.3, 48.7, 51.3]"
1367287,"[50.325, 49.675, 50.325, 49.675]"
1823602,"[49.475, 50.525, 49.475, 50.525]"
2276068,"[56.175, 43.825, 56.175, 43.825]"
2731046,"[49.375, 50.625, 49.375, 50.625]"
3189451,"[51.0, 49.0, 51.0, 49.0]"
3643056,"[43.625, 56.375, 43.625, 56.375]"
4097233,"[42.6, 57.4, 42.6, 57.4]"
4555207,"[50.125, 49.875, 50.125, 49.875]"
5013901,"[48.475, 51.525, 48.475, 51.525]"
5471973,"[46.475, 53.525, 46.475, 53.525]"
5927520,"[49.85, 50.15, 49.85, 50.15]"
6385901,"[58.55, 41.45, 58.55, 41.45]"
6837730,"[57.35, 42.65, 57.35, 42.65]"
7289461,"[57.75, 42.25, 57.75, 42.25]"
7745209,"[57.85, 42.15, 57.85, 42.15]"
8203704,"[58.25, 41.75, 58.25, 41.75]"
8661696,"[58.425, 41.575, 58.425, 41.575]"
9123112,"[58.4, 41.6, 58.4, 41.6]"
9582907,"[58.3, 41.7, 58.3, 41.7]"
10038183,"[58.925, 41.075, 58.925, 41.075]"
10496046,"[55.875, 44.125, 55.875, 44.125]"
10949249,"[59.625, 40.375, 59.625, 40.375]"
11406880,"[57.475, 42.525, 57.475, 42.525]"
11865096,"[58.325, 41.675, 58.325, 41.675]"
12323501,"[61.425, 38.575, 61.425, 38.575]"
12779647,"[58.9, 41.1, 58.9, 41.1]"
13232106,"[56.5, 43.5, 56.5, 43.5]"
13686910,"[60.3, 39.7, 60.3, 39.7]"
14143380,"[59.0, 41.0, 59.0, 41.0]"
14600509,"[60.975, 39.025, 60.975, 39.025]"
15065197,"[61.25, 38.75, 61.25, 38.75]"
15513005,"[59.925, 40.075, 59.925, 40.075]"
15966958,"[59.725, 40.275, 59.725, 40.275]"
16421003,"[59.475, 40.525, 59.475, 40.525]"
16875302,"[59.9, 40.1, 59.9, 40.1]"
17329191,"[60.45, 39.55, 60.45, 39.55]"
17782114,"[59.575, 40.425, 59.575, 40.425]"
18233293,"[60.625, 39.375, 60.625, 39.375]"
18689001,"[60.35, 39.65, 60.35, 39.65]"
19140700,"[59.65, 40.35, 59.65, 40.35]"
19597247,"[57.65, 42.35, 57.65, 42.35]"
20052936,"[60.45, 39.55, 60.45, 39.55]"
20512460,"[57.975, 42.025, 57.975, 42.025]"
20968206,"[58.775, 41.225, 58.775, 41.225]"
21424538,"[59.775, 40.225, 59.775, 40.225]"
21880065,"[60.275, 39.725, 60.275, 39.725]"
22339361,"[58.225, 41.775, 58.225, 41.775]"
22792541,"[59.475, 40.525, 59.475, 40.525]"
23242550,"[58.1, 41.9, 58.1, 41.9]"
23701247,"[58.975, 41.025, 58.975, 41.025]"
24163061,"[59.125, 40.875, 59.125, 40.875]"
24614581,"[59.55, 40.45, 59.55, 40.45]"
25071246,"[59.475, 40.525, 59.475, 40.525]"
25526656,"[57.775, 42.225, 57.775, 42.225]"
25985386,"[59.275, 40.725, 59.275, 40.725]"
26441962,"[58.35, 41.65, 58.35, 41.65]"
26896623,"[57.85, 42.15, 57.85, 42.15]"
27351776,"[57.675, 42.325, 57.675, 42.325]"
27809129,"[58.125, 41.875, 58.125, 41.875]"
28266717,"[57.2, 42.8, 57.2, 42.8]"
28720743,"[59.875, 40.125, 59.875, 40.125]"
29178411,"[59.35, 40.65, 59.35, 40.65]"
29634420,"[58.1, 41.9, 58.1, 41.9]"
30089562,"[59.0, 41.0, 59.0, 41.0]"
30545798,"[59.025, 40.975, 59.025, 40.975]"
30999869,"[57.925, 42.075, 57.925, 42.075]"
31459306,"[58.05, 41.95, 58.05, 41.95]"
31911489,"[58.775, 41.225, 58.775, 41.225]"
32369751,"[59.175, 40.825, 59.175, 40.825]"
32821142,"[59.5, 40.5, 59.5, 40.5]"
33275963,"[58.45, 41.55, 58.45, 41.55]"
33734414,"[59.525, 40.475, 59.525, 40.475]"
34185022,"[59.625, 40.375, 59.625, 40.375]"
34632261,"[58.85, 41.15, 58.85, 41.15]"
35087166,"[60.925, 39.075, 60.925, 39.075]"
35533667,"[59.15, 40.85, 59.15, 40.85]"
35984630,"[60.4, 39.6, 60.4, 39.6]"
36436373,"[59.875, 40.125, 59.875, 40.125]"
36889395,"[59.85, 40.15, 59.85, 40.15]"
37350614,"[58.575, 41.425, 58.575, 41.425]"
37805153,"[58.5, 41.5, 58.5, 41.5]"
38260244,"[58.6, 41.4, 58.6, 41.4]"
38712964,"[59.175, 40.825, 59.175, 40.825]"
39164642,"[58.725, 41.275, 58.725, 41.275]"
39620073,"[60.075, 39.925, 60.075, 39.925]"
40077041,"[59.975, 40.025, 59.975, 40.025]"
40535895,"[58.275, 41.725, 58.275, 41.725]"
40990206,"[59.575, 40.425, 59.575, 40.425]"
41445786,"[59.375, 40.625, 59.375, 40.625]"
41902270,"[60.75, 39.25, 60.75, 39.25]"
42360603,"[59.9, 40.1, 59.9, 40.1]"
42813658,"[60.2, 39.8, 60.2, 39.8]"
43269640,"[60.825, 39.175, 60.825, 39.175]"
43727347,"[59.275, 40.725, 59.275, 40.725]"
44183920,"[61.75, 38.25, 61.75, 38.25]"
44634879,"[59.65, 40.35, 59.65, 40.35]"
45092771,"[61.475, 38.525, 61.475, 38.525]"
