timestep,reward
661321,33.875
1327883,34.475
1989926,26.775
2658534,33.9
3326594,34.9
3997768,35.575
4670889,36.775
5332423,24.975
6000943,35.525
6673883,34.95
7354152,34.625
8017844,39.15
8683022,30.25
9355733,35.375
10024061,39.85
10687298,39.1
11348532,38.05
12012159,36.55
12690917,36.15
13360786,33.975
14031872,36.175
14710931,34.975
15386301,38.2
16063605,36.6
16738882,38.525
17411871,36.625
18090084,33.9
18765511,35.95
19440621,34.9
20125982,32.2
20813199,33.7
21498090,32.625
22178924,36.3
22857071,35.2
23529723,33.375
24211502,36.025
24886657,36.125
25561742,35.925
26240096,35.05
