timestep,reward
245,25.9
441543,20.0
886232,24.7
1331628,30.2
1769955,23.4
2211255,18.8
2651806,28.7
3093210,26.7
3534301,21.9
3971356,23.9
4414489,33.5
4856287,22.1
5286380,26.9
5722656,30.6
6152434,28.5
6594799,24.4
7026539,35.4
7466828,33.1
7905224,18.4
8342086,23.2
8777562,24.9
9212798,28.2
9650146,27.2
10088576,29.8
10527977,34.8
10962188,35.1
11396362,39.1
11851776,25.9
12284046,31.1
12722651,33.5
13164243,41.7
13599635,28.5
14036448,28.3
14476371,27.3
14918159,32.1
15352248,32.8
15793523,35.4
16227884,21.9
16666354,35.3
17102244,26.1
17540858,38.3
17973407,33.5
18409391,24.5
18841639,41.4
19284383,20.9
19726580,22.9
20164198,28.7
20598753,35.5
21041877,22.5
21482841,40.1
21917818,29.5
22360573,34.3
22802697,26.5
23239925,24.7
23679049,27.2
24115912,30.2
24559408,26.1
24997455,32.7
25439311,28.6
25880984,22.9
26319881,19.1
26762646,23.0
27194506,23.9
27635968,33.6
28075836,21.7
28512191,29.1
28945979,23.3
29386138,38.5
29810334,29.2
30252271,28.6
30685999,26.3
31126361,27.7
31566626,19.7
32010452,22.8
32443618,33.5
32877707,38.7
33316203,34.7
33750871,37.7
34195743,33.7
34641469,35.9
35079516,38.4
35512757,37.8
35947058,33.4
36385547,30.3
36824635,25.5
37263748,31.2
37703829,31.0
38138292,31.1
38579383,37.7
39012475,33.3
39452212,29.9
39895632,30.0
40336099,30.9
40778643,24.4
41218094,22.6
41660333,31.5
42097449,36.8
42532219,29.7
42965592,37.3
43393721,27.1
