timestep,reward
671276,132.75
1344445,139.375
2017805,136.45
2693347,134.475
3365773,138.225
4039795,139.175
4714707,137.85
5389933,136.075
6064751,133.775
6735909,133.675
7415262,133.45
8094610,133.05
8767974,131.65
9438799,139.075
10120133,135.325
10797457,135.7
11478077,137.4
12164742,132.875
12851469,133.975
13534383,136.6
14219271,133.65
14904254,132.95
15587923,136.375
16270818,130.25
16943590,131.425
17626723,138.75
18309428,136.45
18994268,138.25
19676566,139.175
