timestep,reward
640,47.125
453978,57.95
914783,56.3
1367697,48.775
1818477,31.275
2267118,57.3
2716889,45.525
3166422,65.2
3616292,53.325
4070357,60.7
4524136,49.525
4975999,56.725
5429066,46.8
5882547,59.95
6334505,54.8
6786239,57.2
7239061,62.875
7694426,63.65
8143483,58.35
8591126,49.5
9039248,49.975
9488401,54.4
9944235,59.55
10397837,48.65
10850660,62.65
11301895,52.625
11749512,50.825
12199238,38.7
12650656,34.25
13103804,48.1
13549471,42.1
14001927,51.05
14453456,53.625
14905525,44.425
15360397,51.575
15812354,54.3
16263670,38.0
16711401,54.375
17162479,62.45
17614624,63.225
18072232,60.075
18531550,58.475
18981795,59.1
19436772,58.2
19892404,58.45
20349171,59.075
20805773,58.825
21263022,59.1
21719124,57.725
22178788,56.95
22635670,59.175
23092171,58.7
23547919,58.25
24002468,50.85
24453299,51.325
24906053,59.025
25364358,50.75
25820694,51.775
26268482,59.45
26726279,59.85
27179780,52.9
27637175,61.8
28095653,62.225
28549508,58.95
29005176,58.3
29458159,59.775
29913091,59.85
30371988,59.15
30829202,57.775
31282441,58.45
31734710,60.2
32190819,59.45
32651681,59.275
33107743,58.825
33563121,59.75
34022672,58.9
34479554,58.575
34933491,58.725
35390424,57.725
35845086,55.625
36305289,61.125
36753703,58.425
37210225,58.975
37661879,60.325
38120367,59.5
38572077,58.975
39027544,59.15
39484271,59.0
39940949,59.55
40397761,60.95
40856484,50.2
41315296,57.925
41773275,58.85
42232730,60.075
42685971,55.775
43138927,56.3
43593232,53.7
44048772,55.125
44504146,50.9
44957016,53.05
