timestep,reward
171,27.55
126486,26.975
253592,30.175
380493,28.175
509448,34.125
637290,33.725
764357,32.5
893944,32.525
1024088,34.025
1153434,33.175
1285010,31.825
1412982,33.025
1541606,32.675
1669299,34.3
1800329,32.45
1929815,31.35
2055576,32.8
2185533,33.175
2313445,34.475
2441015,33.5
2570333,34.0
2702161,32.85
2831237,33.075
2958992,35.075
3087516,33.25
3216056,22.525
3347095,33.425
3474519,33.575
3603456,32.775
3732888,32.325
3861580,33.425
3991170,34.075
4118333,33.025
4245786,33.575
4377479,32.55
4505066,33.475
4633992,31.9
4763285,33.225
4894283,33.575
5024962,33.125
5155657,33.65
5283603,33.15
5415625,33.1
5542593,33.125
5671044,34.025
5797626,32.7
5929210,33.375
6055779,32.6
6186099,32.45
6316066,32.975
6445961,32.9
6575188,32.975
6702960,33.05
6834170,34.1
6963903,32.55
7094335,34.225
7220059,32.775
7346894,32.625
7476092,33.025
7605976,33.275
7734542,33.525
7864605,31.575
7992836,33.85
8119781,31.6
8247578,32.775
8375971,33.275
8503318,32.65
8631823,32.575
8763955,28.0
8893584,31.975
9020722,33.875
9149835,33.3
9278902,32.875
9406880,32.675
9533542,31.125
9660575,31.925
9790884,33.075
9920518,33.2
10047427,31.925
10176398,33.125
10304793,33.4
10433454,32.85
10561908,32.325
10692143,32.575
10820104,28.825
10949435,31.125
11078781,32.725
11205790,33.15
11334262,32.375
11463533,33.575
11592926,32.0
11722177,31.55
11851978,31.5
11982005,31.4
12111107,33.35
12239743,31.675
12366805,34.65
12497261,32.75
12626609,29.95
12755852,32.625
