timestep,reward
456263,53.45
912356,54.8
1361677,48.125
1812482,56.525
2267083,57.9
2720091,55.85
3172001,54.65
3630651,54.05
4085956,51.25
4542470,54.125
5003886,61.225
5458246,59.175
5906572,60.275
6361058,60.925
6815757,61.5
7271669,63.55
7724103,62.9
8179319,61.35
8633229,63.4
9087548,63.775
9541950,65.1
9996412,65.625
10451078,64.8
10910932,64.65
11366162,64.025
11818033,62.15
12273997,63.925
12726070,62.9
13176110,63.25
13630058,63.675
14079966,65.025
14536128,65.125
14989712,64.175
15440652,63.625
15892211,64.45
16347459,63.35
16801452,64.85
17252356,64.825
17708152,63.25
18164524,65.275
18622540,63.025
19076251,62.2
19533097,64.1
19988912,65.4
20444253,64.8
20902210,64.075
21359637,65.5
21820124,64.6
22275899,64.95
22724006,64.25
23177590,64.0
23631375,64.3
24087601,64.25
24536546,64.1
24987419,67.3
25446407,65.725
25903139,66.0
26355895,65.65
26805357,64.675
27265920,65.55
27718485,64.55
28176583,65.275
28622789,65.725
29079086,63.3
29538759,65.325
29997516,63.875
30452803,65.925
30904349,64.1
31365294,63.525
31817894,65.425
32273504,64.45
32730161,64.125
33189443,63.7
33642897,64.575
34101188,64.275
34559559,65.1
35016703,63.225
35467846,63.9
35921551,63.075
36376858,63.05
36830770,61.775
37283132,64.55
37739354,62.6
38194096,65.125
38651436,63.6
39103297,65.675
39556006,65.125
40002585,67.075
40457651,64.825
40910766,65.175
41363889,65.65
41820581,64.45
42272848,62.675
42728112,63.45
43181213,64.25
43637736,61.575
44089234,63.325
44545982,64.25
45006568,64.25
