timestep,reward
145,26.19
136532,27.07
271799,25.6
408171,27.21
544591,33.43
679193,27.31
814552,30.15
949487,31.32
1081650,31.29
1215798,29.79
1353410,34.37
1490231,31.64
1627834,33.22
1762012,30.18
1899098,31.33
2035773,33.53
2169970,32.66
2303023,32.45
2439438,27.94
2573648,32.96
2708247,30.84
2841913,30.67
2975270,27.68
3110495,33.47
3245810,29.19
3379479,30.51
3515505,34.15
3652712,29.43
3785375,34.45
3922300,31.91
4056127,32.8
4190526,33.73
4326526,32.52
4460064,32.5
4595920,32.23
4733196,31.26
4871335,31.71
5004807,35.35
5142618,33.33
5278250,32.14
5414267,32.87
5549035,33.34
5683792,33.12
5819775,33.16
5955594,31.63
6091545,32.79
6227343,33.27
6361483,31.5
6498163,32.36
6635005,30.55
6772332,29.44
6908361,31.28
7042085,27.74
7179440,32.01
7314980,35.1
7451688,35.87
7584908,32.26
7721338,31.18
7858723,25.51
7993124,32.55
8128421,32.83
8265025,33.51
8401506,33.55
8538009,31.9
8673273,33.02
8808475,31.6
8945193,30.26
9076215,31.59
9214601,30.01
9346487,29.43
9480687,30.68
9616186,30.89
9750991,27.78
9889930,29.8
10025519,30.87
10158599,29.23
10296664,35.03
10433080,34.67
10567879,33.06
10704971,29.3
10837529,33.67
10972582,28.52
11109802,33.98
11245024,38.89
11376568,34.65
11509809,35.63
11645774,32.58
11779610,32.75
11916390,33.19
12049854,34.21
12182350,34.08
12319407,36.88
12455332,30.34
12593088,25.71
12727794,34.05
12860419,28.74
12994351,32.65
13127409,32.94
13262987,31.18
13397513,36.43
