timestep,reward
451331,50.725
902616,47.0
1354089,49.45
1805449,48.65
2255183,50.625
2708755,62.3
3160685,62.625
3608032,63.675
4060533,62.025
4520329,60.425
4972379,58.775
5427667,58.025
5882373,57.9
6342800,57.075
6807459,59.425
7268950,59.2
7727336,58.875
8184714,57.1
8638474,47.925
9100167,52.7
9555764,45.275
10010668,55.875
10466751,61.6
10920405,57.2
11373928,49.625
11830924,52.925
12277528,59.925
12724270,58.275
13180220,53.675
13631541,64.55
14081461,58.975
14530303,57.975
14980763,68.075
15434280,67.975
15887196,59.1
16341588,65.3
16789351,57.975
17245141,52.425
17699320,53.3
18149806,53.75
18603811,58.875
19053366,60.375
19500621,57.525
19949644,59.8
20402445,57.925
20858924,56.525
21311527,59.225
21768075,57.45
22227945,60.3
22681663,54.825
23137582,55.85
23594265,62.025
24043071,59.925
24500387,64.175
24951249,62.075
25404772,63.45
25862022,62.45
26319559,64.5
26774961,56.05
27236758,66.05
27683505,63.3
28139773,62.85
28592066,62.575
29046991,60.0
29498722,60.825
29956032,67.675
30407970,56.5
30860565,60.65
31314056,63.35
31770406,57.3
32222115,53.95
32676231,62.5
33132438,65.025
33587698,63.775
34041139,62.85
34495676,57.975
34945533,56.55
35400985,57.35
35851299,57.0
36297959,56.45
36753616,56.3
37202206,57.275
37652373,61.55
38105175,60.25
38554388,60.025
39005833,56.925
39461218,62.475
39915020,44.15
40370691,52.1
40824522,49.425
41274703,47.325
41725604,48.5
42183041,48.7
42629909,57.125
43075744,64.6
43531080,52.125
43983348,54.475
44430853,57.675
44881992,42.8
