timestep,reward
452545,53.675
908715,48.875
1359086,48.65
1813630,51.575
2263016,58.575
2718922,57.6
3171176,58.15
3625166,58.375
4082387,58.625
4535351,58.675
4994298,48.725
5448971,54.7
5904732,60.05
6363724,61.075
6818702,61.225
7272308,59.825
7729498,63.55
8188044,61.575
8649985,61.85
9103476,62.125
9559437,64.125
10016364,63.925
10477701,60.65
10937208,63.875
11386695,65.05
11848519,64.05
12305450,64.85
12761530,66.15
13212879,63.675
13668696,65.75
14124992,64.975
14581757,64.1
15035055,63.2
15487779,64.175
15946302,64.425
16403485,64.35
16858480,65.15
17317920,63.425
17772124,63.775
18231927,63.5
18685490,63.9
19140530,65.0
19595157,65.25
20047051,63.6
20504885,63.75
20960549,64.225
21415447,64.425
21870423,64.9
22319470,65.75
