timestep,reward
1815201,-0.24
1819610,0.02
1824360,-0.2
1828737,0.06
1833222,0.0
1838282,-0.12
1843197,0.06
1847830,-0.02
1852431,-0.02
1856585,0.04
1861272,0.02
1865844,-0.08
1870344,0.1
1875127,0.06
1879970,-0.04
1884573,0.02
1889207,0.08
1894267,0.06
1898611,-0.06
1903005,0.0
1908287,0.0
1912648,-0.06
1917069,-0.14
1921463,-0.1
1926218,-0.04
1930869,-0.22
1935453,-0.02
1940410,-0.02
1945301,-0.22
1950126,0.06
1954707,-0.04
1959590,0.06
1963836,0.1
1968623,0.1
1973610,-0.04
1978148,0.16
1982799,0.02
1987620,-0.24
1991996,0.08
1996856,-0.02
2002106,-0.12
2006746,0.06
2011361,-0.1
2015983,0.08
2020693,-0.02
2025532,0.06
2030378,0.08
2034497,-0.04
2038579,0.1
2043000,-0.02
2047447,-0.16
2052392,0.0
2056877,0.04
2061154,-0.06
2065538,0.02
2069572,-0.24
2074080,-0.06
2079393,-0.1
2083965,-0.1
2088284,0.0
2092774,-0.14
2097583,0.04
2102410,0.04
2107524,0.24
2111676,-0.08
2115859,0.1
2120766,0.16
2125457,-0.04
2129525,0.0
2134231,-0.1
2139355,0.0
2143815,0.02
2148322,-0.1
2152804,0.1
2157673,-0.02
2161759,0.2
2166013,-0.02
2170270,0.18
2174857,0.06
2179747,0.02
2184289,0.04
2189278,-0.04
2193952,-0.02
2198705,0.0
2203180,-0.2
2208075,0.02
2212535,0.2
2216488,0.1
2221380,-0.08
2225753,0.06
2230082,-0.06
2234831,-0.02
2239303,-0.16
2244063,0.08
2248864,-0.02
2253192,-0.1
2257873,0.0
2262569,-0.06
2267457,-0.12
2272136,0.0
2276914,0.02
2280825,0.08
2285513,0.02
2290360,0.02
2294423,-0.04
2299027,-0.1
2303548,-0.02
2307793,0.12
2312177,0.2
2316860,-0.14
2321833,-0.08
2326472,-0.06
2331537,0.26
2336434,0.02
2340531,0.06
2345072,0.06
2350130,-0.12
2354605,-0.12
2358737,-0.04
2363955,-0.04
2368047,0.2
2372762,-0.04
2377283,0.06
2381890,-0.16
