timestep,reward
145,26.5
136359,31.0
272194,25.6
406074,32.3
542995,29.1
677524,25.0
816713,30.6
954086,26.7
1086485,27.9
1219643,32.3
1351187,31.3
1487523,31.4
1621976,31.8
1756501,27.5
1893875,28.0
2027452,27.9
2164433,29.4
2301314,29.8
2433261,25.2
2566082,27.1
2704588,30.5
2837605,31.0
2974806,31.1
3113064,31.1
3246869,33.4
3380710,28.8
3514919,25.7
3651568,39.6
3786059,31.1
3922810,31.8
4056984,31.2
4192522,34.2
4328757,35.9
4462243,33.4
4598073,33.1
4732638,32.1
4867708,36.7
5003967,33.8
5140787,32.8
5273287,35.0
5408796,31.5
5543187,30.6
5679045,28.0
5811774,35.4
5947512,33.8
6082876,30.1
6216008,35.4
6351184,34.1
6485841,26.6
6620701,36.1
6756478,33.3
6896232,32.4
7031682,35.2
7166172,28.5
7306412,27.4
7441632,29.5
7576740,32.2
7715209,31.9
7851628,35.9
7985066,26.4
8119390,38.8
8256290,33.9
8390150,30.8
8527134,35.1
8663557,34.0
8801134,34.0
8936475,28.3
9072868,26.7
9208176,32.3
9347143,35.1
9481509,36.3
9618637,27.3
9753661,29.3
9887125,32.0
10021130,31.7
10155564,31.4
10289630,40.8
10423886,43.7
10558817,42.1
10692969,32.8
10830085,31.5
10966471,30.4
11101331,33.6
11236346,32.8
11372820,32.6
11509592,32.4
11645361,31.0
11782394,30.7
11916357,32.4
12052809,29.7
12188840,29.8
12327679,34.1
12460622,35.5
12595486,32.0
12727066,30.9
12864295,37.7
12998993,36.0
13132602,32.7
13266402,35.1
13402058,38.1
