timestep,reward
177,0.272
177,0.217
126926,0.235
126926,0.242
253343,0.231
253343,0.222
378130,0.208
378130,0.192
503417,0.228
503417,0.236
631654,0.165
631654,0.376
758297,0.226
758297,0.277
882989,0.163
882989,0.337
1009046,0.226
1009046,0.258
1133566,0.186
1133566,0.278
1261221,0.194
1261221,0.202
1384460,0.216
1384460,0.265
1511705,0.22
1511705,0.314
1638751,0.206
1638751,0.239
1762997,0.248
1762997,0.245
1888159,0.32
1888159,0.232
2012169,0.32
2012169,0.243
2138858,0.297
2138858,0.257
2261841,0.304
2261841,0.232
2386269,0.293
2386269,0.216
2511481,0.309
2511481,0.232
2637022,0.32
2637022,0.211
2765854,0.291
2765854,0.197
2891328,0.337
2891328,0.221
3015332,0.31
3015332,0.284
3141822,0.369
3141822,0.196
3268374,0.332
3268374,0.238
3393304,0.316
3393304,0.217
3521698,0.339
3521698,0.234
3649923,0.316
3649923,0.227
3774938,0.295
3774938,0.289
3899018,0.319
3899018,0.256
4022562,0.314
4022562,0.25
4148023,0.327
4148023,0.27
4275034,0.309
4275034,0.232
4402098,0.324
4402098,0.201
4527861,0.326
4527861,0.206
4654814,0.315
4654814,0.211
4781484,0.348
4781484,0.229
4906673,0.284
4906673,0.22
5033206,0.306
5033206,0.206
5160211,0.326
5160211,0.219
5287046,0.318
5287046,0.197
5412006,0.316
5412006,0.202
5538438,0.309
5538438,0.251
5664058,0.33
5664058,0.248
5792297,0.327
5792297,0.193
5919928,0.326
5919928,0.179
6047922,0.334
6047922,0.22
6174347,0.343
6174347,0.201
6302113,0.311
6302113,0.235
6426642,0.349
6426642,0.188
6552538,0.305
6552538,0.219
6679372,0.322
6679372,0.212
6806845,0.31
6806845,0.176
6931558,0.33
6931558,0.218
7056069,0.326
7056069,0.27
7182799,0.28
7182799,0.274
7305473,0.309
7305473,0.284
7432000,0.315
7432000,0.248
7557304,0.35
7557304,0.186
7686902,0.324
7686902,0.247
7811178,0.338
7811178,0.203
7937532,0.309
7937532,0.196
8064468,0.351
8064468,0.22
8192819,0.347
8192819,0.189
8319259,0.336
8319259,0.203
8446424,0.311
8446424,0.175
8572070,0.323
8572070,0.228
8696869,0.33
8696869,0.268
8824730,0.325
8824730,0.195
8949436,0.313
8949436,0.217
9074758,0.32
9074758,0.221
9201686,0.294
9201686,0.227
9325902,0.315
9325902,0.238
9452584,0.321
9452584,0.207
9579288,0.318
9579288,0.221
9703760,0.283
9703760,0.264
9826957,0.327
9826957,0.186
9950568,0.239
9950568,0.24
10076510,0.244
10076510,0.31
10201198,0.24
10201198,0.253
10328750,0.248
10328750,0.225
10454618,0.321
10454618,0.216
10581816,0.258
10581816,0.224
10707044,0.184
10707044,0.277
10834212,0.253
10834212,0.24
10959803,0.267
10959803,0.211
11084745,0.293
11084745,0.19
11210727,0.257
11210727,0.223
11334817,0.21
11334817,0.248
11460469,0.258
11460469,0.229
11585406,0.251
11585406,0.215
11711539,0.245
11711539,0.261
11836001,0.251
11836001,0.235
11961321,0.256
11961321,0.217
12085235,0.256
12085235,0.247
12211038,0.319
12211038,0.203
12337237,0.304
12337237,0.202
12461523,0.287
12461523,0.289
