timestep,reward
666195,32.225
1329799,38.325
1990537,35.125
2673550,34.525
3359531,32.25
4048228,33.3
4739128,31.5
5429363,31.575
6111005,31.1
6792511,29.825
7461380,33.65
8126769,37.45
8787779,39.675
9450856,37.7
10122481,34.875
10785679,37.525
11448282,31.9
12111119,26.4
12777648,27.8
13443450,27.725
14103289,30.7
14765316,33.725
15428604,46.4
16080237,52.5
16722869,50.85
17377609,52.275
18029335,48.2
18691481,44.225
19347762,41.325
20012738,40.925
20679081,43.2
21343752,36.975
22012516,30.825
22670747,39.025
23336478,49.725
24000908,47.225
24663332,47.95
25319517,45.8
25982978,48.4
