timestep,reward
145,26.5
135911,24.6
273005,30.4
406592,30.6
544016,30.3
679301,29.2
817012,32.9
951194,32.8
1086041,35.4
1221624,31.2
1358166,33.2
1491000,34.1
1627840,30.6
1764383,32.1
1900226,26.9
2034258,29.5
2169625,33.6
2305139,29.5
2440068,28.3
2578520,31.9
2712370,30.8
2849255,30.1
2987398,30.6
3121135,28.1
3254819,30.8
3390602,31.7
3526237,34.2
3663073,33.0
3794365,33.8
3933533,32.9
4067331,29.9
4204558,30.3
4341017,34.0
4475716,27.7
4609698,30.8
4745450,30.8
4879076,31.5
5014380,25.1
5149578,28.7
5284299,34.9
5418095,33.8
5554179,33.0
5689688,34.7
5823078,35.4
5959129,32.6
6094311,31.4
6231085,35.7
6363529,33.2
6498732,33.4
6634919,32.4
6771001,28.5
6904550,33.6
7039733,31.9
7175025,33.5
7312166,30.9
7447911,29.9
7582564,26.9
7720147,28.6
7855988,26.9
7989110,30.9
8124863,31.8
8259968,33.3
8396788,34.7
8531627,31.9
8666075,32.3
8798265,33.6
8934026,34.9
9067442,30.9
9203719,31.7
9338799,40.9
9472735,36.8
9605330,35.4
9743111,32.8
9875761,31.8
10011935,35.6
10145541,35.6
10280665,35.7
10414417,42.2
10547666,38.3
10682033,33.7
10819790,35.4
10955444,32.0
11092079,31.4
11227209,34.3
11362053,33.2
11495215,33.3
11629387,30.6
11766435,35.9
11899937,36.1
12034362,32.7
12171763,33.0
12307666,29.7
12444073,28.6
12575952,30.0
12711568,30.2
12843754,30.7
12976696,30.2
13112548,34.4
13246488,27.1
13382906,32.9
13517062,37.2
13653461,28.3
13791010,33.2
13924654,35.7
14057736,30.8
14196919,30.9
14329767,28.9
14464657,32.9
14599945,34.1
14735959,33.1
14871996,30.7
15007716,38.5
15143710,34.4
15278619,29.8
15414229,33.2
15550279,35.2
15684481,31.7
15821074,34.6
15954339,33.2
16090097,31.4
16227151,31.2
16363661,30.1
16497755,31.3
16631942,32.2
16765909,33.3
16900812,38.9
17036910,33.4
17171342,40.1
17305035,38.1
17437979,41.9
17573186,39.2
17705422,35.4
17839184,38.2
17975537,32.5
18107943,39.2
18243253,43.1
18377293,42.9
18514466,41.4
18649893,44.1
18783851,38.2
18917764,33.7
19050932,36.9
19183874,41.5
19318637,38.8
19452817,38.6
19589438,38.9
19720412,34.8
19856650,33.1
19990901,41.3
20122360,42.1
20255808,42.1
20389628,45.6
20524638,40.7
20660156,42.5
20793486,38.8
20927932,38.0
21064382,40.4
21197615,41.3
21329810,43.4
21464039,40.3
21597421,37.6
21731769,40.4
21865375,46.0
21998107,42.1
22129751,40.9
22266282,39.8
22402127,37.9
22536805,42.6
22670446,41.0
22807268,40.1
22939756,41.1
23075037,38.3
23207542,38.4
23341639,39.6
23476778,41.9
23611667,36.1
23747100,45.5
23882831,35.4
24016728,39.8
24151022,35.7
24285438,42.5
24421396,38.4
24558493,37.4
24690779,33.5
24827882,35.1
24964053,35.8
25095879,39.1
25229388,38.5
25366751,33.9
25501134,36.9
25637501,35.3
25772345,38.1
25909034,31.8
26041595,30.3
26179104,38.1
26316425,34.6
26450536,39.4
26584510,35.9
26717211,36.7
26853111,36.3
